Bericht;Bereich;Modell;Groesse;Run;Szenariotyp;Phase;Schrittart;Aufgabe;Status;Dauer [s];SLM-Zeit [s];Prompt-Tokens;Output-Tokens;Tokens gesamt;Formatreparaturen;Modellneustarts;Abbrueche;Timeouts;Abbruchgrund;Fehlerart;Neustart;Timeout
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;pipeline_started;;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:GM_gut_S1->CM_gut_S1:attempt:1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:GM_gut_S1->BPM_gut_S1:attempt:2;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:GM_gut_S1->TRM_gut_S1:attempt:1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:GM_gut_S1->PM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:GM_gut_S1->PM_gut_S1:attempt:1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->GM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->BPM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:ARM_gut_S1->PM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:BPM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:BPM_gut_S1->CM_gut_S1:attempt:1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:BPM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:TRM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:PM_gut_S1->CM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;format_repair:intermodel:controlled_phase1:PM_gut_S1->CM_gut_S1:attempt:1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;slm_request_started;intermodel:controlled_phase1:PM_gut_S1->TRM_gut_S1;;;;;;;;;;;;;;
1;Intermodellbeziehungen;Gemma 4;4B;1;controlled;1;pipeline_finished;;OK;692.5782431520056;685.4556474278797;62003;28687;90690;7;0;;0;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;pipeline_started;;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->CM_gut_S2.2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->BPM_gut_S2.2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->TRM_gut_S2.2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;format_repair:intermodel:controlled_phase2:GM_gut_S2.2->TRM_gut_S2.2:attempt:1;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:GM_gut_S2.2->PM_gut_S2.2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;format_repair:intermodel:controlled_phase2:GM_gut_S2.2->PM_gut_S2.2:attempt:1;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:ARM_gut_S2.2->GM_gut_S2.2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:ARM_gut_S2.2->BPM_gut_S2.2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;format_repair:intermodel:controlled_phase2:ARM_gut_S2.2->BPM_gut_S2.2:attempt:1;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;format_repair:intermodel:controlled_phase2:ARM_gut_S2.2->BPM_gut_S2.2:attempt:2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:ARM_gut_S2.2->TRM_gut_S2.2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;intermodel:controlled_phase2:ARM_gut_S2.2->PM_gut_S2.2;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;format_repair:intermodel:controlled_phase2:ARM_gut_S2.2->PM_gut_S2.2:attempt:1;;;;;;;;;;;;;;
2;Intermodellbeziehungen;Gemma 4;4B;1;controlled;2;slm_request_started;format_repair:intermodel:controlled_phase2:ARM_gut_S2.2->PM_gut_S2.2:attempt:2;;;;;;;;;;;;;;
