Zeilentyp;Report_ID;Bereich;Modell;Modellkennung;Groesse;Run;Szenariotyp;Phase;Aufgabe;Aufgabentyp;Versuch;Versuchsstatus;Abbruchgrund;Quelle_ID;Referenzgruppe;Kanonisch;Run_Status;Run_Gesamtzeit_s;Run_SLM_Zeit_s;Run_Prompt_Tokens;Run_Output_Tokens;Run_Tokens_gesamt;Run_erfolgreiche_SLM_Zeit_s;Run_erfolgreiche_Tokens;Run_Abbrueche;Run_Abbruchzeit_s;Run_Timeouts;Run_Timeoutzeit_gemessen_s;Run_Timeoutzeit_angesetzt_s;Run_Overhead_s;Run_Formatreparaturen;Run_Modellneustarts;Run_einbezogene_Tasks;Run_ausgeschlossene_Overview_Tasks;Run_einbezogene_Gesamtzeit_s;Run_einbezogene_SLM_Zeit_s;Run_einbezogene_Tokens;Run_einbezogene_Abbrueche;Run_einbezogene_Abbruchzeit_s;Run_einbezogene_Timeouts;Run_einbezogene_Timeoutzeit_s;Run_einbezogene_Overhead_s;Aufgabe_Gesamtzeit_s;Aufruf_Dauer_s;SLM_Wallzeit_s;Prompt_Tokens;Output_Tokens;Tokens_gesamt;Tokenwerte_vorhanden;SLM_Wallzeit_vorhanden;Modellneustartzeit_s;Formatreparatur;Overview_ausgeschlossen;Quelldurchsatz_Token_s;Referenzdurchsatz_Token_s
RUN;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;;;;;;SRC_01;False;true;COMPLETED_WITH_ERRORS;534.7622197999999;530.4773568999992;67167;34031;101198;530.4773568999992;101198;0;0;0;0;0.0;4.2848629000006895;9;0;13;0;534.5480661999998;530.4773568999992;101198;0;0;0;0;4.070709300000544;;;;;;;;;;;;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:GM_gut_S1->CM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;35.47293229999991;35.338179800000034;35.291651;2773;1582;4355;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:GM_gut_S1->BPM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;29.26599169999986;29.124336900000117;29.123595900000055;2687;1912;4599;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:GM_gut_S1->TRM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;93.53672520000009;18.77949680000006;18.77877620000004;2979;1127;4106;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:GM_gut_S1->TRM_gut_S1;format_repair;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;93.53672520000009;38.75163740000016;38.75093330000004;3475;2536;6011;true;true;0.0;true;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:GM_gut_S1->TRM_gut_S1;format_repair;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;93.53672520000009;21.04493649999995;21.044231500000024;3475;1523;4998;true;true;0.0;true;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:GM_gut_S1->TRM_gut_S1;format_repair;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;93.53672520000009;14.215207200000123;14.21450619999996;3317;992;4309;true;true;0.0;true;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:GM_gut_S1->PM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;20.474541900000077;20.34916750000002;20.348477199999934;2779;1273;4052;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:ARM_gut_S1->GM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;21.174423299999944;21.047309099999893;21.046589399999903;2763;1325;4088;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:ARM_gut_S1->BPM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;25.022445999999945;24.894448900000043;24.893729099999973;2785;1607;4392;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:ARM_gut_S1->TRM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;21.36809149999999;21.354921900000136;21.354188299999805;3077;1293;4370;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:ARM_gut_S1->PM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;18.100039700000025;17.94127720000006;17.94057449999991;2883;1084;3967;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:BPM_gut_S1->CM_gut_S1;normal;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;100.12062340000011;25.514482199999975;25.513729399999875;2747;1654;4401;true;true;0.0;false;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:BPM_gut_S1->CM_gut_S1;format_repair;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;100.12062340000011;32.03207610000004;32.03126159999988;3407;2060;5467;true;true;0.0;true;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:BPM_gut_S1->CM_gut_S1;format_repair;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;100.12062340000011;20.94480079999994;20.94404580000014;3407;1516;4923;true;true;0.0;true;false;193.21303026725386;37.27982852578875
ATTEMPT;R0001;Intermodellbeziehungen;Gemma 4 4B;gemma4:e4b;4B;1;organized;1;intermodel:organized_phase1:BPM_gut_S1->CM_gut_S1;format_repair;1;OK;;SRC_01;False;true;COMPLETED_WITH_ERRORS;;;;;;;;;;;;;;;;;;;;;;;;;;100.12062340000011;20.93778580000003;20.93700979999994;3407;1516;4923;true;true;0.0;true;false;193.21303026725386;37.27982852578875
