Szenariotyp;Phase;SLM;Normalisierte_Laufzeit_h
controlled;1;gemma4:e4b;0.677579087
controlled;1;qwen3.5:4b;4.097266323
controlled;1;qwen3.5:9b;2.748472812
controlled;2;gemma4:e4b;0.884715654
controlled;2;qwen3.5:4b;6.886332796
controlled;2;qwen3.5:9b;2.295693330
controlled;3;gemma4:e4b;1.195611200
controlled;3;qwen3.5:4b;12.211058235
controlled;3;qwen3.5:9b;3.272580482
controlled;4;gemma4:e4b;2.505445138
controlled;4;qwen3.5:4b;13.067341852
controlled;4;qwen3.5:9b;7.054086696
organized;1;gemma4:e4b;0.755172728
organized;1;qwen3.5:4b;7.555738936
organized;1;qwen3.5:9b;3.128737482
organized;2;gemma4:e4b;0.881340445
organized;2;qwen3.5:4b;6.401870187
organized;2;qwen3.5:9b;2.472473568
organized;3;gemma4:e4b;1.332267593
organized;3;qwen3.5:4b;12.345527139
organized;3;qwen3.5:9b;3.922246519
organized;4;gemma4:e4b;2.365846732
organized;4;qwen3.5:4b;19.361386640
organized;4;qwen3.5:9b;5.366789725
