Szenariotyp;Phase;SLM;Mittelwert_normalisierte_Laufzeit_h;Standardabweichung_h;Anzahl_Runs
controlled;1;gemma4:e4b;0.148876908;0.019275305;3
controlled;1;qwen3.5:4b;1.165610722;0.247381950;3
controlled;1;qwen3.5:9b;0.301660509;0.064132590;3
controlled;2;gemma4:e4b;0.210720960;0.047185097;3
controlled;2;qwen3.5:4b;2.248901529;0.136454154;3
controlled;2;qwen3.5:9b;0.286907606;0.061359547;3
controlled;3;gemma4:e4b;0.523059536;0.191757819;3
controlled;3;qwen3.5:4b;3.417558756;1.548388399;3
controlled;3;qwen3.5:9b;1.193715014;0.462109450;3
controlled;4;gemma4:e4b;0.595020474;0.257516259;3
controlled;4;qwen3.5:4b;4.133147579;2.315990920;3
controlled;4;qwen3.5:9b;1.075611699;0.350140749;3
organized;1;gemma4:e4b;0.133184629;0.011786662;3
organized;1;qwen3.5:4b;1.397318733;0.011384086;3
organized;1;qwen3.5:9b;0.556042708;0.346003437;3
organized;2;gemma4:e4b;0.751712015;0.330662325;3
organized;2;qwen3.5:4b;2.280393088;0.826423924;3
organized;2;qwen3.5:9b;0.498901477;0.025982923;3
organized;3;gemma4:e4b;0.386937274;0.075360474;3
organized;3;qwen3.5:4b;5.537998186;1.246910654;3
organized;3;qwen3.5:9b;0.775025414;0.502252007;3
organized;4;gemma4:e4b;1.099796378;0.183182719;3
organized;4;qwen3.5:4b;6.800595484;1.545873250;3
organized;4;qwen3.5:9b;1.831976894;0.645507277;3
