Phase;Modell;System;tokens;zeit;umgerechnete Zeit
1;Gemma 4 4B;System A;90690;692.057;2439.297
2;Gemma 4 4B;System A;118449;815.030;3184.993
3;Gemma 4 4B;System A;160066;1110.356;4304.222
4;Gemma 4 4B;System A;335425;2406.298;9019.649
1;Qwen3.5 4B;System B;148387;5130.150;14750.175
2;Qwen3.5 4B;System B;152806;9727.292;24790.824
3;Qwen3.5 4B;System C;154584;8940.508;43959.857
4;Qwen3.5 4B;System C;269320;9424.337;47042.481
1;Qwen3.5 9B;System D;192630;10682.682;9894.582
2;Qwen3.5 9B;System D;252011;10370.221;8264.601
3;Qwen3.5 9B;System D;292194;14286.994;11781.439
4;Qwen3.5 9B;System E;536202;15596.455;25394.943
